1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Country Code
,,,,,84.91104859,86.63511637,82.52558184,79.65026354,79.93358865,74.40032444,70.49752691,64.92086331,63.10116086,65.07896716,68.55225312,65.85253456,66.16107669,67.7045177,63.78269618,61.0422996,67.81332165,65.24134891,76.50951199,77.55555556,73.51703023,71.29402901,73.33211479,ABW
,,,,,,,,,,,,,,,,,,,16.96730188,16.1826331,17.17448856,11.69851076,6.727290342,9.691866972,7.119569064,5.867036072,5.70973391,AFG
,,,,,,,,,,89.68583119,75.38894373,57.0849959,54.32133738,58.38034553,65.52626777,63.4678635,67.90578337,72.47502847,58.75730302,61.54311272,60.66994844,55.94013141,50.74708439,44.69503125,29.75459949,28.12448456,29.00410005,AGO
15.40506383,7.484818725,12.49959149,15.97882981,11.98369435,12.6408295,11.62032872,10.1971199,11.46715404,16.84177663,20.11528595,21.33341803,20.94560691,20.84740122,22.21757431,23.01298514,25.20960484,28.24787244,25.30241695,25.24071661,27.97942273,29.24153534,28.93748744,28.91632263,28.21300894,27.26740028,28.97789681,31.56979807,ALB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND
32.31721665,28.94634675,30.54362937,28.71110986,29.66090507,31.38425845,32.49056539,37.30244435,33.10213609,36.31561223,42.61101779,40.8636543,41.66649698,45.68179683,48.98827066,52.77531163,53.90901834,53.94055001,57.19050218,47.66267957,50.83289881,55.14897968,56.38893575,54.53925667,51.03552792,43.98322223,40.86340409,44.47274934,ARB
,,,,,,,,,,,49.15922533,49.50334738,55.92319922,63.56772981,67.58531139,68.62779767,72.3840975,78.8678887,79.65331786,82.24241809,90.0765712,100.2464956,100.5477884,99.56083028,100.8704802,101.0030139,99.59493841,ARE
10.35953659,7.675043348,6.598187472,6.909351534,7.529948726,9.68041026,10.42859676,10.5608501,10.41558196,9.827174515,10.98637523,11.57900808,28.382597,25.93094293,23.84761942,23.24587673,23.0266946,22.66275031,22.06090038,19.56098506,18.93382341,18.44920915,16.23785946,14.61717339,14.40547859,10.70565205,12.52709517,11.24272132,ARG
35.00298151,40.74538838,39.82075502,47.21897587,39.32803935,23.92792083,23.2400035,20.27326939,19.00301997,20.75824695,22.16141881,24.1458544,27.83210837,30.48299789,28.19074382,27.31319795,22.14598144,18.18935698,14.26572957,14.67090075,19.74841532,22.52318826,27.56672188,28.3591265,28.5651387,29.72799648,33.14800495,37.32950312,ARM
,,,,,,,,,,,,100.7782101,97.34345351,89.84375,99.00596421,99.7983871,97.11538462,113.8543517,78.17109145,63.19444444,58.36236934,74.8447205,71.29485179,66.35514019,64.59909228,65.49079755,60.13289037,ASM
75.15195927,76.78183519,81.5706077,82.08287182,74.04773441,69.56882138,63.51629595,65.13043555,64.00951016,61.71107967,56.23766663,55.61529709,52.52359964,54.06902947,58.06724451,53.34318267,47.3783263,44.32581534,45.69968451,45.8747921,45.6023234,47.26953529,45.27973431,46.17685138,47.26934339,45.05101314,42.38446109,,ATG
15.14652536,16.06140736,16.69136445,17.57279145,18.00531178,17.91688487,18.93919435,19.17481105,19.59557692,18.34389276,19.43465944,22.22572071,20.7745942,19.0950859,17.2032858,18.26510157,19.8939213,20.20360889,20.16167323,23.00481294,19.81000775,21.43641705,21.48082841,19.95616761,21.039455,19.98484551,19.25105708,21.19320015,AUS
